path,rep,varying # of clones,varying # of snvs,varying # of cnas,varying # of cells,varying FP rate,varying FN rate,varying missing rate,varying cluster size (sd),SCGcluster-silhouette,SCGcluster-gt,SBMClone,Kmeans
cell_100/rep1,1,4,5000,200,100,0.05,0.6,0.98,0.5,0.7790690300775824,0.7790690300775824,0.0,0.6023619640699936
cell_100/rep2,2,4,5000,200,100,0.05,0.6,0.98,0.5,1.0,1.0,1.239295454552014e-15,0.2760473890199306
cell_100/rep3,3,4,5000,200,100,0.05,0.6,0.98,0.5,0.8556966359539689,0.8556966359539689,0.0384983081702051,0.6071327134211663
cell_100/rep4,4,4,5000,200,100,0.05,0.6,0.98,0.5,0.03361616916740199,0.05745614715355486,0.0,0.6803747199479045
cell_100/rep5,5,4,5000,200,100,0.05,0.6,0.98,0.5,0.7531630221489549,0.7531630221489549,0.0,0.0630592908477857
cell_1000/rep1,1,4,5000,200,1000,0.05,0.6,0.98,0.5,0.5724305877604409,0.5926888783477032,0.721995601249687,0.6135062938017073
cell_1000/rep2,2,4,5000,200,1000,0.05,0.6,0.98,0.5,1.0000000000000002,1.0000000000000002,0.497377204809044,0.6645835143405564
cell_1000/rep3,3,4,5000,200,1000,0.05,0.6,0.98,0.5,1.0,1.0,0.6196461901608944,0.625665968582824
cell_1000/rep4,4,4,5000,200,1000,0.05,0.6,0.98,0.5,0.7813660763677223,0.7994548849995073,0.7172792798107182,0.6321983971415094
cell_1000/rep5,5,4,5000,200,1000,0.05,0.6,0.98,0.5,0.7554960512426855,0.7613525370760434,0.0,0.2627744057350992
clone_2/rep1,1,2,5000,200,500,0.05,0.6,0.98,0.5,0.786319265171764,0.8525536266556524,0.9999999999999984,0.0001166949446245
clone_2/rep2,2,2,5000,200,500,0.05,0.6,0.98,0.5,0.24275929443477387,0.2691304297148461,2.413725055878082e-15,1.1804758264879915e-06
clone_2/rep3,3,2,5000,200,500,0.05,0.6,0.98,0.5,0.7774588410621062,0.9397553871177301,0.6858205001096029,1.2313460820129557e-05
clone_2/rep4,4,2,5000,200,500,0.05,0.6,0.98,0.5,0.8360760067633183,0.8667218728660452,8.4282121804283455e-16,0.0011260502003417
clone_2/rep5,5,2,5000,200,500,0.05,0.6,0.98,0.5,0.8775538455827872,0.9327149124847673,0.0,0.00538296838379
clone_4/rep1,1,4,5000,200,500,0.05,0.6,0.98,0.5,0.6096853729007167,0.7079628891865536,0.6023151967179374,0.6124359814694913
clone_4/rep2,2,4,5000,200,500,0.05,0.6,0.98,0.5,1.0,1.0,0.0056822450077904,0.4696173893127223
clone_4/rep3,3,4,5000,200,500,0.05,0.6,0.98,0.5,0.9166975209886048,0.9166975209886048,0.0,0.6328215828457617
clone_4/rep4,4,4,5000,200,500,0.05,0.6,0.98,0.5,0.8515862123839264,0.8527896370689589,0.6683611795146102,0.6407328814090015
